Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
"Leveraging shared mobility data for urban development and policymaking: A study of Dutch municipalities' data supply, demand, and challenges & opportunities","F.J.H. (Floris) van den Dool, BSc",2024.0,"I. Susha, B. Pel",,"This thesis examines the demand and supply of shared mobility data for urban development and policy-making in Dutch municipalities, additionally focusing on challenges and opportunities in acquiring and using data. It investigates how shared mobility providers position themselves in the context of data sharing and how their data is demanded by municipalities for evidence-based decision-making. Utilizing an interpretive research philosophy, this study follows an abductive qualitative approach with a multiple case study design, focusing on four major Dutch municipalities: Amsterdam, Rotterdam, The Hague, and Eindhoven. The findings indicate municipal demand for detailed data to improve urban development and policymaking, while challenges such as privacy and legal restrictions hinder data sharing.","What is the supply and demand for shared mobility data within Dutch municipalities to inform (smart) urban development and policymaking, and which access and utilization challenges and opportunities arise in the data sharing process?",11 - Sustainable Cities and Communities,"This SDG applies as the research focuses on leveraging shared mobility data to enhance urban development and policymaking, addressing issues such as urban densification and sustainability.",Netherlands,National,Urban & Regional Development,"Shared Mobility, Data Sharing, Urban Development, Policymaking, Data Supply & Demand, Dutch Municipalities, Smart & Sustainable Cities, New Mobility Services (NMS), Data-driven Decision Making, Business-to-Government (B2G) Data Sharing, Public-Private Partnership, Innovation, Collaboration",Qualitative Empirical Research,"Semi-structured interviews, Thematic analysis, Multiple case study",,,,Amsterdam,52.243498,5.634323,City,dool_2024.pdf,dool_2024.png,Matched,Netherlands,52.243498,5.634323
Exploring the Incorporation of the Net Zero Trend in Energy Companies' Goals and Strategies,Isabel van Vliet,2024.0,Christina Bidmon,Julian Kirchherr,"This thesis aims to better understand the use of the sustainability trend Net Zero within energy companies, worldwide. The rise in the use of sustainability trends has significantly accelerated following the Paris Agreement and new global regulations, highlighting the need to comprehend how these trends are applied in practice. Therefore, this explorative research takes six companies, with headquarters located in different continents, as a case study. The aim of this research is to connect this theoretical term Net Zero with practical implications in the companies’ goals and strategies. The study employs desktop research, examining the sustainability reports of BP, Shell, TotalEnergies, Chevron, ExxonMobil and PetroChina, followed by validation through interviews with six independent experts within the sustainable business. The findings reveal that, while all six companies mention the term Net Zero, there is variability in the extent and manner of its usage.",How do large energy companies incorporate the sustainability trend Net Zero into their goals and strategies?,13 - Climate Action,"The research focuses on how energy companies are addressing climate neutrality through the Net Zero trend, which directly relates to climate action and sustainability efforts.",Global,Global/International,Energy & Climate,"Net Zero, (Linguistic) Sustainability Trend, Buzzword, Sustainability Report, Goals and strategies, Energy Sector.","Literature-Based Research, Qualitative Empirical Research","Desk research, Interviews",,,"BP, Shell, TotalEnergies, Chevron, ExxonMobil, PetroChina",,,,Broad,vliet_2024.pdf,vliet_2024.png,Matched,Global,,
Preparing in the Light of Uncertainty: How Textile Companies respond to New Regulations on the Digital Product Passport,Lea Quick,2023.0,Christina Bidmon,Laura Piscicelli,"European regulations are pushing for the implementation of a Digital Product Passport (DPP) to enhance transparency, circularity, and sustainability in different sectors, including the textile industry. This study aims to investigate how companies in the European textile sector perceive and respond to the upcoming DPP regulations characterised by regulatory uncertainty. The qualitative study of 16 semi-structured interviews revealed four different archetypes of companies demonstrating different strategic responses and adoption strategies to the DPP. While some companies perceive the DPP as an opportunity to innovate, others remain hesitant due to challenges concerning data management. The research indicates that regulatory uncertainty builds a major challenge, affecting companies’ strategies and planning.",How do companies in the European textile sector perceive and respond to the upcoming Digital Product Passport regulations characterized by regulatory uncertainty?,12 - Responsible Consumption and Production,"The study addresses the need for enhanced transparency and sustainability in the textile industry, aligning with the goal of responsible consumption and production.",European Union,Regional,Circular Economy & Production,"Digital Product Passport, DPP, Textile Industry, Regulatory Uncertainty, Strategic responses, Innovation adoption, Implementation Strategies",Qualitative Empirical Research,Semi-structured interviews,Diffusion of Innovations,,,European Union,50.0,10.0,Broad,quick_2023.pdf,quick_2023.png,Matched,Europe,,
THE RELATION BETWEEN CSR ENGAGEMENT AND SUCCESS IN STARTUPS,Mattijs van der Laan,2023.0,Sanne Akerboom,Janpieter van der Pol,"This research investigates the relationship between Corporate Social Responsibility (CSR) engagement and success in startups. The aim is to understand effective CSR strategies that can enhance startup success. A mixed-methods approach was employed, combining quantitative survey data from 36 startups with qualitative insights from interviews with five founders. The findings indicate that while CSR motivations vary, with some startups focusing on moral aspects and others on strategic benefits, there is a positive but nonsignificant correlation between CSR engagement and financial success. However, non-financial success metrics, particularly innovation and human capital, show a significant positive correlation with CSR engagement.",How is CSR engagement related to success in startups?,8 - Decent Work and Economic Growth,"This SDG applies as the research explores how CSR practices can contribute to the success and sustainability of startups, which are vital for economic growth and job creation.","Utrecht Region, Netherlands",Local,Social Justice & Equity,"Corporate Social Responsibility, startups, success, mixed methods, Innovation",Mixed Methods Research,"Survey, Semi-structured interviews","Stakeholder Theory, Institutional Theory, Resource-Based View",,,Utrecht,52.080477,5.142559,City,laan_2023.pdf,laan_2023.png,Matched,Netherlands,52.080477,5.142559
Using a memetics lens to better understand tailored messages for organizational change toward sustainability,Kenrick Ye,2023.0,Dr. Kristina Bogner,Dr. Karlijn van den Broek,"This research examines organizational change through the lens of memetics, focusing on how tailored messages can enhance employee engagement with sustainability strategies. The study employs qualitative methods, including semi-structured interviews, to explore the relationship between employees' memeplexes and their responses to tailored versus non-tailored messages. Findings indicate that tailored messages resonate more with employees, increasing their attractiveness and reception, which in turn positively influences the adaptation of sustainability-related memes. The research contributes to the understanding of how effective communication can facilitate organizational change towards sustainability.","How does the intentional variation of memes (in the form of tailoring messages to employees’ memeplexes) affect the attractiveness, selection, and assimilation of this meme in the sense of a better reception of this tailored message? How does this affect the adaptation of the employee memeplex?",12 - Responsible Consumption and Production,"The research focuses on enhancing sustainability practices within organizations, aligning with the goal of promoting responsible consumption and production patterns.","Utrecht, Netherlands",Local,Governance & Policy,"Sustainability, memetics, organizational change, tailored messages, employee engagement",Qualitative Empirical Research,"Semi-structured interviews, Thematic analysis, Memetic mapping",Memetics,Jacobs Douwe Egberts,,Utrecht,52.090701,5.121563,City,ye_2023.pdf,ye_2023.png,Matched,Netherlands,52.090701,5.121563
The Inefficiency of the Dutch Electricity Market: The Curtailment of Renewable Energy and the Role of Green Power Purchase Agreements,Luc Roebroek,2024.0,Peter Mulder,Joeri Wesseling,"This research investigates the inefficiencies of the Dutch electricity market, particularly focusing on their impact on renewable energy producers, specifically solar parks. The study aims to analyze the financial and curtailed impacts of these inefficiencies, especially in relation to Green Power Purchase Agreements (GPPAs). A dual methodology combining quantitative analysis and case studies is employed, examining various groups of solar parks. Findings indicate that solar parks with GPPAs experience significantly less financial impact and curtailment compared to those without. The research highlights the importance of GPPAs in mitigating market inefficiencies and provides insights for stakeholders in the renewable energy sector.",To what extent are solar PV parks with contractual Green Power Purchase Agreements (GPPAs) influenced by the inefficiency of the Dutch electricity market in 2023 compared to solar parks without such agreements?,7 - Affordable and Clean Energy,"The research addresses the challenges faced by renewable energy producers in the Dutch electricity market, emphasizing the need for effective mechanisms like GPPAs to enhance the viability and sustainability of clean energy sources.",Netherlands,National,Energy & Climate,"Green Power Purchase Agreements, Renewable Energy, electricity market, curtailment, solar parks",Mixed Methods Research,"Quantitative analysis, Case study",,Groendus,,Netherlands,52.243498,5.634323,Country,roebroek_2024.pdf,roebroek_2024.png,Matched,Netherlands,52.243498,5.634323
Peeling back the layers Uncovering the potential of Potato Peels,Paco van Diesen,2023.0,Arturo Castillo Castillo,Jesus Rosales Carreon,"This thesis investigates the potential for enhancing the uptake of high-nutritional-value substances from potato peels to improve resource efficiency in the Dutch potato processing industry. It explores the multifaceted aspects of potato peel valorisation by analysing current utilization practices, technological advancements, and stakeholder influences within a framework that supports sustainable agricultural practices. The main research question explores how the recovery and utilization of valuable substances from potato peels can be increased. Results reveal that while potato peels are primarily used for biogas production and animal feed, there are significant opportunities for higher-value applications. The thesis concludes that increasing the uptake of high-nutritional-value substances from potato peels is not only technically feasible but also environmentally beneficial.",How can the recovery and utilization of valuable substances from potato peels be increased?,12 - Responsible Consumption and Production,"This SDG applies as the thesis focuses on improving resource efficiency and valorisation of potato peels, which are currently underutilized, thereby promoting sustainable practices in the agrifood sector.",Netherlands,National,Circular Economy & Production,"potato peels, valorisation, resource efficiency, sustainable practices, agrifood sector",Qualitative Empirical Research,Semi-structured interviews,,,,Utrecht,52.243498,5.634323,City,diesen_2023.pdf,diesen_2023.png,Matched,Netherlands,52.243498,5.634323
“Meat” the opposite side: Effects of a cross-cutting discussion video on attitudes and beliefs towards meat consumption among young adults (19-30 years of age).,Delphine Fossey,,Tina Venema,,"This research explores the impact of a discussion video on young adults' attitudes and beliefs regarding meat consumption. The aim is to understand how cross-cutting discussions can influence perceptions and behaviors related to meat. A qualitative empirical methodology was employed, utilizing focus groups to gather insights from participants aged 19-30. The findings indicate that the video effectively challenged existing beliefs and encouraged critical thinking about meat consumption.",How does a cross-cutting discussion video influence attitudes and beliefs towards meat consumption among young adults?,12 - Responsible Consumption and Production,"This SDG is relevant as the research addresses sustainable consumption patterns and encourages critical reflection on meat consumption, which has significant environmental impacts.",,,Social Justice & Equity,,Qualitative Empirical Research,Focus groups,,,,,,,Broad,fossey_unknown.pdf,fossey_unknown.png,Matched,,,
Threads of Concern: Unravelling the Relationship Between Climate Change Anxiety and Sustainable Fashion Behaviour,Kalina Paprzycka,2023.0,,,"Climate change anxiety is a growing concern worldwide, yet its impact on consumers’ sustainable fashion behaviour remains underexplored. Furthermore, the influence of cultural factors, such as collectivism, on this relationship has not been investigated. Present study aims to fill this gap by examining the association between climate change anxiety and sustainable fashion consumption among university students. The thesis addresses the following question: To what extent does climate change anxiety influence sustainable fashion consumption of university students in Poland and the Netherlands, and is this relationship moderated by an individual’s level of collectivism? Utilising a cross-sectional design, an online survey was administered in the two European countries and quantitative approach was employed in the analysis. The final sample comprised 223 participants, and the data were modelled using ordinary least squares regression.","To what extent does climate change anxiety influence sustainable fashion consumption of university students in Poland and the Netherlands, and is this relationship moderated by an individual’s level of collectivism?",12 - Responsible Consumption and Production,"The study addresses sustainable fashion consumption, highlighting the importance of responsible consumer behaviour in mitigating climate change effects.","Poland, Netherlands",Regional,Circular Economy & Production,"climate change anxiety, sustainable fashion behaviour, Climate Change, sustainable consumption",Quantitative Empirical Research,"Online survey, ordinary least squares regression",,,,Poland,52.215933,19.134422,Country,paprzycka_2023.pdf,paprzycka_2023.png,Matched,Poland; Netherlands,52.215933|52.243498,19.134422|5.634323
Understanding and Evaluating Science Engagement by Regulatory Agencies in the Health Sector,Federica Raffa,2024.0,Jarno Hoekman,Wouter Boon,"This thesis explores the role of regulatory agencies in the health sector regarding science engagement. The aim is to evaluate how these agencies engage with scientific research and its implications for innovation and regulation. A mixed methods approach is employed, combining qualitative interviews and quantitative data analysis to assess the effectiveness of science engagement activities. The findings reveal key motivations and barriers to engagement, as well as the impact of these activities on regulatory processes and innovation outcomes.","How do regulatory agencies in the health sector engage with scientific research, and what are the implications for innovation and regulation?",3 - Good Health and Well-Being,This SDG applies as the thesis focuses on the health sector and the role of regulatory agencies in improving health outcomes through effective science engagement.,"Utrecht, Netherlands",Local,Governance & Policy,"Science Engagement, Regulatory Agencies, Health Sector, Innovation, Evaluation",Mixed Methods Research,"Interviews, Quantitative analysis",,Medicines Evaluation Board,,Utrecht,52.090701,5.121563,City,hoekman_2024.pdf,,Matched,Netherlands,52.090701,5.121563
A socio-technical approach: Facilitating the adoption of green chemistry in India’s textile processing,Luciana Frosi-Carvalho,2024.0,Bonno Pel,,"The textile industry relies on a series of processing steps—pretreatment, coloration, and finishing—to achieve the desired textiles properties. These processes use extensive amounts of water, energy, and chemicals, which have detrimental effects on the environment. One approach to minimise these impacts is to replace traditional chemicals with lower-impact chemicals, referred to as green chemistry (GC). Adopting GC has proven challenging, especially in developing countries, such as India. This study aimed to explore how the adoption of GC can be facilitated in India’s textile processing. A qualitative study using a socio-technical approach was employed, combining both actor network theory and diffusion of innovation theory. The findings were used to develop six overarching recommendations to create a network that facilitates GC adoption.",How can the adoption of green chemistry be facilitated in India’s textile processing?,12 - Responsible Consumption and Production,The study addresses the environmental impacts of the textile industry and aims to promote sustainable practices through the adoption of green chemistry.,India,National,Circular Economy & Production,"green chemistry, textile processing, socio-technical approach, actor network theory, diffusion of innovation theory",Qualitative Empirical Research,"Interviews, Desk research","Actor-Network Theory, Diffusion of Innovations",Fashion for Good,,India,22.351115,78.667743,Country,frosicarvalho_2024.pdf,frosicarvalho_2024.png,Matched,India,22.351115,78.667743
The Sky is the Limit: Sustainability implications for the rapidly evolving aerospace sector,Pepijn Verhoeven,2023.0,Xiao-Shan Yap,Bernhard Truffer,"With the advent of the New Space era the number of rocket launches and actors within the sector has grown exponentially, and projections indicate that this growth trend will continue over the next decade. Research highlights the significant impact of this development on the environment, such as contributions to climate change and ozone layer depletion. This research employs the institutional logics approach to gather insights into the norms, values and strategies that actors adopt to pursue their goals. A multiple case study approach is adopted for the four major regions in the global rocket launching sector. The results illustrate the dominance of the State Market Field Logic, highlighting the limited number of actors who adhere strongly to sustainability-related values.","What are the norms, values, and strategies that drive the rapid development of the global and regional rocket launching sectors?","9 - Industry, Innovation and Infrastructure","The research focuses on the aerospace sector's rapid development and its implications for sustainability, aligning with the goal of fostering innovation and sustainable industrialization.",Global,Global/International,Energy & Climate,,"Mixed Methods Research, Qualitative Empirical Research",Multiple case study,Institutional Logics,,"NASA, SpaceX",,,,Broad,verhoeven_2023.pdf,verhoeven_2023.png,Matched,Global,,
Realizing the potential of energy cooperatives to tackle energy poverty.,Aldo Sarein Baan,2024.0,Bonno Pel,Niko Wojtynia,"The invasion of Ukraine by Russia has exposed the fragility of our fossil-based energy system leading to soaring energy prices and widening economic disparities. This crisis, together with the impending climate catastrophe underlines the urgent need for a transition to a sustainable and just energy system. Energy cooperatives are heralded as catalysts for change, offering a pathway towards a more democratic and inclusive energy paradigm, promising equitable distribution of benefits and burdens. However, despite the recognized potential of energy cooperatives, research indicates a risk of propagating inequalities between those with and without the means. This study seeks to find how the potential of cooperatives can be realized to benefit vulnerable groups, tackling energy poverty. A qualitative multi-case study of four established energy cooperatives was conducted, employing desk research and semi-structured interviews with experts and cooperative representatives.",How can the potential of energy cooperatives be realized to benefit vulnerable groups and tackle energy poverty?,7 - Affordable and Clean Energy,"This SDG applies as the research focuses on energy cooperatives and their role in providing equitable access to energy, particularly for vulnerable groups facing energy poverty.",Netherlands,National,Energy & Climate,"energy cooperatives, energy poverty, energy justice, sustainable energy, local collaboration",Qualitative Empirical Research,"Multi-case study, Semi-structured interviews, Desk research",Energy Justice,Energie Samen,,Netherlands,52.243498,5.634323,Country,baan_2024.pdf,baan_2024.png,Matched,Netherlands,52.243498,5.634323
THE DECARBONISATION OF THE MARITIME TRANSPORT SECTOR: ASSESSING THE TRANSITION AND SYSTEMIC BARRIERS,Hugo Hollander,2024.0,Sanne Akerboom,Joeri Wesseling,"The maritime transport sector significantly contributes to global greenhouse gas emissions, necessitating substantial decarbonisation efforts to achieve climate neutrality by 2050. This study explores the transition towards decarbonisation in deep sea freight and bulk shipping, identifying systemic barriers hindering progress. Employing the X-curve framework and the Mission-Oriented Innovation System (MIS) approach, qualitative research was conducted through desk research and semi-structured interviews with industry experts. Findings reveal that while experimentation with sustainable practices is increasing, major barriers such as high costs of alternative fuels and insufficient regulatory measures impede rapid progress. The study concludes that stronger regulatory frameworks and economic incentives are essential for accelerating the transition towards a sustainable maritime transport sector.","What is the current state of the transition towards decarbonisation of the maritime transport sector, and what are the core barriers and their underlying causes hindering this transition?",13 - Climate Action,"The maritime transport sector is a significant contributor to greenhouse gas emissions, and achieving decarbonisation is crucial for mitigating climate change impacts.",European Union,Global/International,Energy & Climate,"Decarbonisation, maritime transport, systemic barriers, sustainable practices, FuelEU Maritime Regulation",Qualitative Empirical Research,"Semi-structured interviews, Desk research","X-curve framework, Mission-oriented Innovation Systems",,,European Union,50.0,10.0,Broad,hu_2025.pdf,hu_2025.png,Matched,Europe,,
Mitigation Measures in the Audio-Visual Industry: A Case Study of Pupkin’s Tentpole Production,,2024.0,,,"This thesis explores the mitigation measures (MMs) in the audio-visual industry, focusing on Pupkin's tentpole production. The aim is to identify relevant MMs and assess their cost-effective abatement potential. A mixed methods approach is employed, combining literature review and case study analysis. The findings reveal various MMs that can significantly reduce the carbon footprint of film production, highlighting the importance of integrating sustainability into the filmmaking process.",What are the relevant mitigation measures for reducing the carbon footprint in Pupkin’s tentpole production?,13 - Climate Action,The research addresses the urgent need for climate action by identifying effective measures to reduce greenhouse gas emissions in the audio-visual industry.,,Local,Energy & Climate,"Mitigation Measures, Audio-Visual Industry, Carbon Footprint, Pupkin, Tentpole Production",Mixed Methods Research,"Literature review, Case study",,,Pupkin,,,,Broad,paris_2023.pdf,,Matched,,,
Consumer Preference for End-of-Life Scenarios in the Fashion Industry,Melati van Boven,2024.0,Dr. S. Akerboom,Dr. T. Venema,"This thesis explores consumer preferences regarding end-of-life scenarios in the fashion industry. The aim is to understand how different disposal methods influence consumer choices and perceptions. A mixed methods approach was employed, combining qualitative interviews and quantitative surveys to gather data. The findings reveal that consumers show a preference for sustainable disposal options, such as recycling and upcycling, over traditional methods like landfill disposal.",What are consumer preferences for end-of-life scenarios in the fashion industry?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on sustainable practices in the fashion industry, particularly regarding consumer choices that impact waste management and resource use.",Global,Global/International,Circular Economy & Production,"Consumer Preference, End-of-Life Scenarios, Fashion Industry, Sustainability",Mixed Methods Research,"Interviews, Quantitative surveys",,Kuyichi Pure Goods,,,,,Broad,boven_2024.pdf,boven_2024.png,Matched,Global,,
A consumer and supply chain analysis on the circularity of heat pumps: investigating the potential implementation of a circular business model,Ralph Schrijer,2023.0,Adriaan van der Loos,Maryse Chappin,"This thesis explores the circularity of heat pumps within consumer and supply chain contexts. The aim is to investigate the potential implementation of a circular business model for heat pumps. A qualitative empirical research methodology was employed, including interviews and case studies. The findings indicate significant opportunities for enhancing circularity in the heat pump sector, highlighting the importance of stakeholder collaboration and innovative business practices.",How can a circular business model be implemented for heat pumps to enhance their circularity in consumer and supply chain contexts?,12 - Responsible Consumption and Production,"The research focuses on improving the sustainability of heat pumps, which aligns with the goal of promoting responsible consumption and production patterns.",,,Circular Economy & Production,,Qualitative Empirical Research,"Interviews, Case study",,Eneco,,,,,Broad,schrijer_2023.pdf,schrijer_2023.png,Matched,,,
"Cultivating Diversity: An insight into millet seed systems in Odisha, India",Saudamini Marici,2024.0,Koen Beumer,Toon Meelen,"This research explores the millet seed systems in Odisha, India, focusing on the diversity of millet varieties and their cultivation practices. The aim is to understand the socio-economic and environmental factors influencing millet production and consumption. A qualitative empirical methodology was employed, including interviews with local farmers and stakeholders. The findings reveal the importance of traditional knowledge and community practices in sustaining millet diversity, highlighting the need for policy support to enhance millet cultivation.","What are the socio-economic and environmental factors influencing millet seed systems in Odisha, India?",2 - Zero Hunger,This SDG applies as the research addresses food security and the importance of diverse crop systems in enhancing nutrition and resilience in agricultural practices.,"Odisha, India",Local,Ecology & Biodiversity,"millet, seed systems, Odisha, diversity, agriculture",Qualitative Empirical Research,Interviews,,,,Odisha,20.543124,84.689732,Region,marici_2024.pdf,marici_2024.png,Matched,India,20.543124,84.689732
Strategic Niche Management for Levering the Blockchain Technology towards Scaling up the Financing of Nature-based Solutions through Voluntary Carbon Markets: A Case Study,Dorina Döring,2023.0,Abe Hendriks,,"This study investigates the potential of leveraging Blockchain Technology and Voluntary Carbon Markets (VCM) to increase funding for rural nature-based solutions (NBS). Using Geels' Framework of Strategic Niche Management, the research examines the socio-technological innovation niche centred around blockchain applications in the context of NBS funding. The study addresses the research question of how blockchain technology can contribute to closing the funding gap for NBS through VCM. Data is gathered through qualitative interviews with experts and stakeholders active in the niche. The findings reveal that blockchain technology can address certain barriers hindering increased funding for NBS. Additionally, the study explores the niche's management and experiment processes, which appear to be well-structured and purposefully designed.",How can blockchain technology contribute to closing the funding gap for nature-based solutions through voluntary carbon markets?,13 - Climate Action,"The research underscores the importance of closing the funding gap for nature-based solutions, as these interventions play a critical role in combating climate change.",Global,Global/International,Energy & Climate,"Blockchain Technology, Nature-based Solutions, Voluntary Carbon Markets, Funding Gap",Qualitative Empirical Research,Interviews,Strategic Niche Management,,,,,,Broad,doring_2023.pdf,doring_2023.png,Matched,Global,,
From a lost soul to connecting hero. A case study of sustainability integration in a Dutch regional water authority.,Anne Ranselaar,2023.0,Brian Dermody,Niko Wojtynia,"The Dutch regional water authorities (DRWA) experience pressure to increase their sustainable practices due to the changing climate and political pressure. This research focuses on the structural organisational barriers encountered by the Dutch regional water authority Hollandse Delta (WSHD) during the integration of sustainability. It examined the complex network of the WSHD to resolve current misunderstandings and provide recommendations for sustainable management. The study is qualitative, aiming to delve deeply into the complexities of the interdependencies of actors and issues within the network of WSHD to identify structural barriers of sustainable integration. Key recommendations include the establishment of a sustainability advisory group to centralise and streamline sustainability efforts across departments.",What structural barriers within WSHD impede sustainability implementation and how can they be overcome?,6 - Clean Water and Sanitation,"The research focuses on the integration of sustainability practices within a regional water authority, which directly relates to the management and preservation of water resources.",Netherlands,Regional,Governance & Policy,"Sustainability, water authority, organisational barriers, governance gaps, stakeholder engagement",Qualitative Empirical Research,Semi-structured interviews,"Actor-Issue Network, Organisational Change, Power-Interest Matrix",Arcadis,Hollandse Delta,Hollandse Delta,52.243498,5.634323,Broad,ranselaar_2023.pdf,ranselaar_2023.png,Matched,Netherlands,52.243498,5.634323
Circular value chain changes in digital retail,Thomas Biemans,2024.0,W.J.V Vermeulen,Julian Kirchherr,"This thesis explores the changes in circular value chains within the digital retail sector. The aim is to understand how digitalization impacts sustainability practices and value chain dynamics. A mixed methods approach is employed, including the development of a Sustainable Performance Checklist and in-depth interviews with key stakeholders. The findings reveal significant shifts in sustainability reporting and management practices among leading digital retailers, highlighting the need for adaptive strategies to enhance circularity in their operations.",How does digitalization influence circular value chain changes in the retail sector?,12 - Responsible Consumption and Production,"The research focuses on enhancing sustainability practices in digital retail, which directly contributes to responsible consumption and production patterns.",Netherlands,National,Circular Economy & Production,"Circular Economy, digital retail, Sustainability, value chain, performance checklist",Mixed Methods Research,"Sustainable Performance Checklist, In-depth interviews",,,"Bol.com, Coolblue, ASOS",Netherlands,52.243498,5.634323,Country,biemans_2024.pdf,biemans_2024.png,Matched,Netherlands,52.243498,5.634323
Will robots replace workers in greenhouses? Envisioning labour and automation in the Dutch horticulture sector,Jade Loos,2024.0,Koen Beumer,Brian Dermody,"This thesis explores the potential impact of automation and robotics on labor in the Dutch horticulture sector. The aim is to understand how these technologies could reshape the workforce and the implications for workers. A qualitative empirical research methodology was employed, including interviews with industry experts and stakeholders. The findings suggest that while automation may enhance efficiency, it also raises concerns about job displacement and the need for reskilling workers.",Will robots replace workers in greenhouses?,8 - Decent Work and Economic Growth,"This SDG applies as the research addresses the future of work in the horticulture sector, focusing on the balance between technological advancement and job security.",Netherlands,National,Energy & Climate,"automation, horticulture, labor, robotics, Netherlands",Qualitative Empirical Research,Interviews,,,,Netherlands,52.243498,5.634323,Country,loos_2024.pdf,loos_2024.png,Matched,Netherlands,52.243498,5.634323
The Influence of Drivers and Barriers in a CE transition for Offshore Wind,Martijn Douwe de Leeuw (M.D. de Leeuw),2023.0,Adriaan van der Loos (H.Z.A. van der Loos),Peter Mulder (P. Mulder),"Offshore wind farms (OWFs) are low-carbon energy systems that can decarbonize the electricity grid. Significant material use and limited lifespans of OWFs pose challenges for waste and material management. This stresses the urgency for the industry to transition to a circular economy (CE). However, a CE pathway is yet to be established. The CE-related drivers and barriers provide insights for the industry’s transition. Therefore, this study aims to explore how drivers and barriers influence the CE transition within the offshore wind industry, with a particular focus on Denmark and the Netherlands. This way, the research also aimed to examine the CE performance of both countries. Semi-structured interviews with actors from the offshore wind value chain provided insights in the establishment of a CE transition. The research highlights that the institutional, market and supply chain environment can greatly influence the industry to become more circular. Circular procurement emerged as the most significant influential factor in fostering a circular offshore wind industry. It emerged that market opportunities arise, for both circular end-of-life (EOL) routes and circular design initiatives. Partnerships and knowledge exchange emerged as factors within the supply chain environment which stimulate a CE transition. The key barriers were formed by a lack of decommissioning policy, a lack of governmental expertise, CE-costs, investment insecurity, lack of standardization and a lack of downstream supply chain. Both Denmark and the Netherlands take initial steps to improve circularity throughout the value chain. While there is an emphasis on integrating CE for upcoming OWFs, circular EOL routes may be overlooked. Overall, this research presents the in-depths dynamics of drivers and barriers for a CE transition in offshore wind.",How do drivers and barriers influence the circular economy transition within the offshore wind industry in Denmark and the Netherlands?,12 - Responsible Consumption and Production,"The research addresses the need for a circular economy in the offshore wind industry, highlighting the importance of sustainable material management and waste reduction.","Netherlands, Denmark",Regional,Energy & Climate,"Circular Economy, offshore wind, drivers, barriers, semi-structured interviews",Qualitative Empirical Research,Semi-structured interviews,,,,Netherlands,52.243498,5.634323,Country,leeuw_2023.pdf,leeuw_2023.png,Matched,Netherlands; Denmark,52.243498|55.670249,5.634323|10.333328
The Circular Transition of the Dutch Carpet Industry: A Sectoral Innovation System approach,Manon Diemeer,2024.0,Vivian Tunn,Abe Hendriks,"The shift to a Circular Economy presents a solution to the growing problems of waste accumulation and resource depletion, especially for resource-intensive businesses. This research aims to fill the gap in the current literature by focusing on the implementation of circular strategies in the Dutch carpet industry. The study employs a Sectoral Innovation System approach, analyzing 13 semi-structured interviews and desk research. Key findings identify drivers and barriers in the implementation of circular strategies, highlighting the importance of government policy as a deciding factor for companies to invest in circularity.",How can the implementation of circular strategies be stimulated in the Dutch carpet industry?,12 - Responsible Consumption and Production,"The research addresses the need for sustainable practices in the carpet industry, aligning with the goal of responsible consumption and production.",Netherlands,National,Circular Economy & Production,"Circular Economy, Carpet Industry, Sectoral Innovation System, Circular Strategies",Qualitative Empirical Research,"Semi-structured interviews, Desk research","Sectoral Innovation System, Waste Hierarchy",,,Netherlands,52.243498,5.634323,Country,diemeer_2024.pdf,diemeer_2024.png,Matched,Netherlands,52.243498,5.634323
Identifying the Interactions between the Technological Innovation Systems of Bio-SAF and Synthetic SAF in the Randstad Cluster in the EU and Dutch Institutional Context,Bram van Gelder,2024.0,Joeri Wesseling,Louis Knüpling,"The aviation sector is a major contributor to environmental pollution, necessitating the urgent adoption of more sustainable fuel alternatives. Bio-sustainable aviation fuel (bio-SAF) and synthetic SAF are viable short- to medium-term solutions, particularly for medium- and long-haul flights, characterizing drop-in fuel compatibility. However, the sector faces significant challenges, including limited bio-SAF feedstock availability and synthetic SAF's current non-scalability. This research examines the development of bio-SAF and synthetic SAF within the Randstad cluster, utilizing the Technological Innovation System (TIS) framework. A qualitative case study comprising 17 interviews and desk research identifies various modes of interaction between the two technologies in the Randstad cluster, revealing the presence of commensalism, competition, parasitism, and neutralism.",What are the drivers and barriers to developing and diffusing bio-SAF and synthetic-SAF in the Randstad cluster in the EU and Dutch institutional context?,13 - Climate Action,"The research focuses on sustainable aviation fuels, which are essential for reducing greenhouse gas emissions in the aviation sector, directly contributing to climate action goals.","Randstad, Netherlands",Local,Energy & Climate,"Sustainable Aviation Fuel, Bio-SAF, Synthetic SAF, Technological Innovation Systems, Randstad",Qualitative Empirical Research,"Case study, Semi-structured interviews, Desk research",Technological Innovation Systems,Rotterdam The Hague Airport,"Shell, Neste, SkyNRG, KLM, Schiphol, Port of Rotterdam, Port of Amsterdam",Randstad,52.378042,5.226072,Broad,gelder_2024.pdf,gelder_2024.png,Matched,Netherlands,52.378042,5.226072
