Title,Author(s),Year,Master Track,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
"BIODIVERSITY, A ‘REGRETTABLE’ ‘SOLUTION’ FOR CLIMATE CHANGE? A DISCOURSE ANALYSIS ON THE GOVERNING OF BIODIVERSITY BY TRANSNATIONAL CLIMATE INITIATIVES",Anouk Fransen,2021.0,Earth Systems Governance,Prof. dr. Harriet Bulkeley,,"The loss of biodiversity is argued to be among the largest environmental problems today as it impairs the long-term viability of the world’s ecosystems. This research aims to get a better understanding in how biodiversity is framed and governed by Transnational Climate Initiatives (TCI) by performing a discourse analysis. The study reveals two overarching rationales of biodiversity as a means to climate change and biodiversity loss as ‘risk’. It argues that framing biodiversity in terms of ‘services’ or ‘solutions’ could turn into a dangerous, ‘regrettable solution’.",,15 - Life on Land,"This SDG applies as the research focuses on the governance of biodiversity and its implications for ecosystems, which are critical for sustaining life on land.",,Global/International,Ecology & Biodiversity,"Biodiversity, Governmentality, Transnational Governance, Transnational Climate Initiatives (TCI), Discourse Analysis",Qualitative Empirical Research,"Discourse analysis, Explorative content analysis, In-depth content analysis",Governmentality,,,,,,Broad,"Missing Research Question, Abstract too short",fransen_2021.pdf,fransen_2021.png,Matched,,,
Sustainable Mineral Sourcing,Richard Charles Olson Evans,2020.0,Earth Systems Governance,,,"This thesis explores corporate practices of stakeholder engagement and mineral supply chain due diligence in the electronics industry. The aim is to understand how companies manage sustainability risks associated with mineral sourcing. A mixed methods approach is employed, including literature review, corporate surveys, and expert consultations. The findings reveal that effective stakeholder engagement and robust due diligence practices are crucial for improving sustainability outcomes in the mineral supply chain.",,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on sustainable practices in mineral sourcing, which is essential for responsible consumption and production in the electronics industry.",,,Circular Economy & Production,,"Literature-Based Research, Qualitative Empirical Research","Literature review, Corporate Survey, Expert interviews",,,,,,,Broad,"Missing Research Question, Missing Supervisor, Abstract too short",evans_2020.pdf,evans_2020.png,Matched,,,
Explaining cold-water coral community assembly with seabed and hydrodynamic features,Siluo Chen,2023.0,,Max Rietkerk,"Anna van der Kaaden, Evert de Froe","This study investigates the spatial variation of cold-water coral community distribution and its relationship with seabed topography and hydrodynamics. Cold-water coral reefs, important biodiversity hotspots, exhibit different distribution patterns influenced by environmental factors. Data was collected through ROV videos and analyzed using multivariate statistical methods. Findings indicate that community concentration varies with mound size, with smaller mounds supporting more corals at their summits, while larger mounds show stability at upper flanks. The study suggests further research on biochemistry and endemic species to enhance understanding of cold-water coral ecosystems.",What is the impact of hydrodynamics and seabed topography on benthic community assembly?,14 - Life Below Water,"This research addresses the ecological dynamics of cold-water coral reefs, which are critical marine ecosystems that support biodiversity and are affected by environmental changes.","Rockall Bank, Ireland",Regional,Ecology & Biodiversity,"cold-water corals, community assembly, seabed topography, hydrodynamics, Biodiversity","Mixed Methods Research, Qualitative Empirical Research","ROV video analysis, multivariate statistical analyses, between-class analysis, co-inertia analysis","Environmental Control Theory, Ecosystem Engineer Control Theory",Royal Netherlands Institute for Sea Research,,Rockall Bank,52.6793523,-2.4672456,Broad,Abstract too short,chen_2023.pdf,chen_2023.png,Matched,Ireland,52.6793523,-2.4672456
ENRICHING CO-GOVERNANCE WITH ARTISTIC EXPRESSION THE POTENTIAL OF ART-BASED APPROACHES FOR THE COLLABORATIVE DEVELOPMENT OF URBAN NATURE-BASED SOLUTIONS,SARA LOUISE COSTA,2020.0,Earth Systems Governance,Alexander van der Jagt,Harriet Bulkeley,"This research explores the potential of art-based approaches (ABA) to enhance interdisciplinary co-governance in urban nature-based solutions (NBS). The aim is to address governance challenges by making diverse environmental value systems explicit through creative expression. The study employs a case study of Utrecht, utilizing interviews with NBS stakeholders and document analysis to develop a guiding framework for implementing ABA. Findings reveal that urban nature professionals possess conflicting value systems, highlighting the need for ABA to foster understanding among stakeholders. The research contributes a framework for effective ABA implementation in NBS co-governance, emphasizing the integration of personal experiences and emotions into professional practices.",How can art-based approaches contribute to the collaborative development of urban nature-based solutions through interdisciplinary co-governance?,11 - Sustainable Cities and Communities,"The research emphasizes the importance of integrating nature-based solutions in urban environments to enhance sustainability, aligning with the goal of creating sustainable cities and communities.","Utrecht, Netherlands",Local,Urban & Regional Development,"ART-BASED APPROACHES, URBAN NATURE-BASED SOLUTIONS, INTERDISCIPLINARY CO-GOVERNANCE, ENVIRONMENTAL VALUE SYSTEMS, IMAGES OF NATURE",Qualitative Empirical Research,"Interviews, Document analysis",Images of Nature,,,Utrecht,52.090701,5.121563,City,,costa_2020.pdf,costa_2020.png,Matched,Netherlands,52.090701,5.121563
The demand for tree planting: an over idealized quick-fix or a promising nature-based solution?,Emmeline Long,2020.0,,Dr. ir. Mariska te Beet,,"In recent decades, tree planting has gained momentum as a nature based solution to global challenges of climate change and to tackling the consequences of deforestation. Consequently, tree planting has been incorporated in policy and governance as a strategy to address these issues. This thesis seeks to answer to what extent current tree planting project sites adhere to sustainable practices and measures to ensure optimized net carbon sequestration, biodiversity conservation and local water management. A data inventory of 113 tree planting project sites associated with 20 different tree planting programs was conducted. It was found that a majority of project sites did not monitor for local water management and biodiversity monitoring. Nonetheless, most projects used solely native tree species. This research highlights the complexity of tree planting as a sustainable nature based solution.",To what extent do current tree planting project sites adhere to sustainable practices and what recommendations of best practices should be made to ensure the sustainability of tree planting?,15 - Life on Land,"This SDG applies as the research focuses on tree planting, which is directly related to biodiversity conservation and sustainable land management.",,Global/International,Ecology & Biodiversity,,Mixed Methods Research,"Literature review, Interviews",,WWF-NL,,,,,Broad,,long_2020.pdf,long_2020.png,Matched,,,
eParticipation in climate change adaptation,Boy Luiks,2020.0,Earth Systems Governance,Dr. Carel Dieperink,Prof. dr. Peter Driessen,"Cities in Europe and around the world are facing significant risks from climate change, causing problems to their populations, communities and infrastructure. This thesis investigates the role of eParticipation in climate change adaptation governance in cities and the conditions for its success. A qualitative multiple case study methodology was employed, focusing on the municipalities of Groningen and Zwolle. The analysis reveals that eParticipation is currently limited to informing and consulting levels, with political will, leadership, and user-centered design being crucial for success. The findings highlight the importance of designing online participation to generate value for citizens and meet their needs.",What is the role of eParticipation in climate change adaptation governance in cities and under what conditions can successful eParticipation be achieved?,13 - Climate Action,"This research addresses the urgent need for effective climate change adaptation strategies in urban areas, emphasizing the role of public participation in governance.",Netherlands,Local,Governance & Policy,"eParticipation, climate change adaptation, public participation, municipalities, Groningen, Zwolle",Qualitative Empirical Research,"Interviews, Survey",,,,Groningen,52.243498,5.634323,City,,luiks_2020.pdf,luiks_2020.png,Matched,Netherlands,52.243498,5.634323
CONTRIBUTING TO A CIRCULAR ECONOMY: INSIGHTS AND INDICATORS FOR THE EVALUATION OF CIRCULAR REGIONAL POLICIES,Eva Herrewijnen,2020.0,Energy & Materials,Dr. Ir. J. Rosales Carreon,Dr. B.C. Corona Bellostas,This study explores the evaluation of the deployment of policy instruments by regional governments in the Netherlands in the transition to a circular economy. The circular economy is a new policy field for Dutch regional governments which are now deploying a wide range of policy instruments to help the transition move forward. This raises the question how regional governments can evaluate their effort aimed at contributing to the Dutch Circular economy Goals: 100% circular in 2050 and 50% reduction of raw material input in 2030. Evaluation is important to steer and improve policies to contribute to a more effective intervention to help move away from our current linear economy system towards a circular economy. This study investigated how regional governments in the Netherlands are currently evaluating their circular policies and what indicators could be used to help with this evaluation.,How can regional governments evaluate their efforts aimed at contributing to the Dutch Circular economy Goals?,12 - Responsible Consumption and Production,"This SDG applies as the study focuses on evaluating policies that contribute to a circular economy, which is essential for sustainable consumption and production patterns.",Netherlands,National,Circular Economy & Production,"Circular Economy, Regional Government, Policy Instruments, Evaluation indicators",Qualitative Empirical Research,Semi-structured interviews,,Royal HaskoningDHV,,Netherlands,52.243498,5.634323,Country,,herrewijnen_2020.pdf,herrewijnen_2020.png,Matched,Netherlands,52.243498,5.634323
"An Exploration of Sustainability and Inclusiveness within Sanitation Governance in eThekwini, South Africa",Huda Lohiya,2020.0,International Development,Murtah Shannon,,"This research details how the history of South Africa has led to a shift in the governance of sanitation services, focusing on inclusivity and sustainability, particularly in informal settlements. The study explores the perspectives of various governance actors, including local municipalities and sanitation providers, to identify key factors for successful service provision. Findings highlight the importance of local context and societal inclusion in governance, as well as the need for innovative sanitation solutions to address challenges like water scarcity and urbanization.","How can sustainability and inclusiveness be integrated into sanitation governance in eThekwini, South Africa?",6 - Clean Water and Sanitation,"This SDG applies as the research focuses on improving sanitation services and governance, particularly for vulnerable populations in eThekwini.","eThekwini, South Africa",Local,Governance & Policy,,Qualitative Empirical Research,"Interviews, Case study",,,,eThekwini,-29.861825,31.009909,City,Abstract too short,lohiya_2020.pdf,lohiya_2020.png,Matched,South Africa,-29.861825,31.009909
ANALYZING THE PRECONDITIONS FOR SUCCESSFUL COMMUNITY-BASED ECOTOURISM BY CONDUCTING A CASE STUDY META-ANALYSIS,Simone Lassauw,2020.0,Earth Systems Governance,Frank van Laerhoven,Carel van Dieperink,"Community-based ecotourism (CBET) is a promising approach to find a balance between nature conservation and socio-economic development. However, CBET from the community’s perspective is little understood. Besides, it is still uncertain which preconditions contribute to successful CBET enterprises. This research used the following research question as a guideline: What factors contribute to the success of community-based ecotourism? A theoretical framework was developed containing 19 critical success factors (CSFs) clustered in six categories. These factors were derived from claims in the existing literature and were applied to 50 CBET case studies. A triangulation of methods was used to create a set of preconditions based on the relative importance of the CSFs. The main results indicated the factors accountability, autonomy, alternative land use resources, infrastructure, and funding as relatively important.",What factors contribute to the success of community-based ecotourism?,15 - Life on Land,"This SDG applies as the research focuses on community-based ecotourism, which aims to balance nature conservation with socio-economic development, directly impacting land and biodiversity.",,Global/International,Ecology & Biodiversity,"community-based ecotourism, critical success factors, and the set of preconditions",Mixed Methods Research,"Case study meta-analysis, Survey, Semi-structured interviews",,,,,,,Broad,,lassauw_2020.pdf,lassauw_2020.png,Matched (content),,,
Private governance in Europe’s logging industry,Elliott Barnes,2019.0,,Dr. Murtah Shannon,,"Sustainable forest management (SFM) aims to maintain and enhance the economic, social and environmental values of forests. This research investigates the effectiveness of the Forest Stewardship Council (FSC) in ensuring compliance with its voluntary forest management standard across Sweden, Finland, and Germany. By analyzing policy and corrective action requests (CARs), the study reveals that the FSC struggles to enforce its standards effectively, with over 44% of CARs related to environmental non-conformities. The findings suggest a need for stricter standards and a reevaluation of the audit process to enhance the authority of non-state market driven systems.","How effective is the Forest Stewardship Council (FSC) at ensuring compliance with its voluntary forest management standard in Sweden, Finland, and Germany?",15 - Life on Land,"This SDG applies as the research focuses on sustainable forest management and the preservation of terrestrial ecosystems, addressing the challenges of logging and compliance with environmental standards.","Sweden, Finland, Germany",Regional,Ecology & Biodiversity,"Sustainable forest management, Forest Stewardship Council, compliance, logging, Europe","Literature-Based Research, Qualitative Empirical Research","Policy analysis, Corrective Action Request analysis",,,Forest Stewardship Council,Sweden,59.674971,14.520858,Country,Abstract too short,barnes_2019.pdf,barnes_2019.png,Matched,Sweden; Finland; Germany,59.674971|63.246778|51.163818,14.520858|25.920916|10.447831
THE FUTURE OF SOUTH AFRICAN GRASSLAND COMMUNITIES,Veerle Tuijnman,2020.0,Environmental Change and Ecosystems,Mariska te Beest,Angeles Garcia Mayor,"This thesis investigates the responses of plant traits in South African grassland communities to varying fire frequencies and warming conditions. The aim is to understand how these disturbances affect plant growth and community dynamics. An experimental approach was employed, utilizing statistical analyses to evaluate trait measurements across different treatments. The findings reveal significant interactions between fire frequency and temperature, highlighting the importance of these factors in shaping grassland ecosystems.",How do fire frequency and warming affect plant trait responses in South African grassland communities?,15 - Life on Land,"This research contributes to understanding the impacts of climate change and fire on terrestrial ecosystems, aligning with the goal of protecting, restoring, and promoting sustainable use of terrestrial ecosystems.",South Africa,Local,Ecology & Biodiversity,,Qualitative Empirical Research,"Experimental design, Trait measurements, Statistical analysis",,,,South Africa,-28.816624,24.991639,Country,Abstract too short,tuijnman_2020.pdf,tuijnman_2020.png,Matched,South Africa,-28.816624,24.991639
The influence of prescribed fire treatments on the abundance of Hakea sericea in fire -prone areas in Northern Portugal,Asjra Bosch,2023.0,Environmental Change and Ecosystems,"Ángeles Garcia Mayor, Oscar Gonzalez Pelayo",Mariska the Beest,"Reinforced by fire occurrence, the invader Hakea sericea is increasingly emerging in burned areas in Portugal. This study examines the short-term influence of two types of prescribed burning treatments on the vegetation community, soil surface cover, plant community structure, and the abundance of Hakea sericea. The experiment involved 6 plots with 3 replicates for each treatment, measuring fire temperature and duration, soil burn severity, and vegetation structure. The findings indicate that Hakea sericea is slightly more abundant in burned plots, but soil burn severity was significantly higher, potentially affecting species survival. Both treatments were effective in reducing Hakea sericea density in the short term, but further research is needed for long-term effects.",What is the short-term influence of prescribed burning treatments on the abundance of Hakea sericea in fire-prone areas?,15 - Life on Land,"This research addresses the management of invasive species, which is crucial for maintaining biodiversity and ecosystem health.",Northern Portugal,Local,Ecology & Biodiversity,"Plant invasions, Hakea sericea, prescribed fires, Mediterranean Basin, fire-prone ecosystems",Mixed Methods Research,"Point-intercept method, Data analysis",,,,,32.674835,-16.901397,Broad,,bosch_2023.pdf,bosch_2023.png,Matched,Portugal,32.674835,-16.901397
The impacts of climate protests on opinion and policy: the case of the Netherlands 2019,Paul van Dijk,2021.0,Earth Systems Governance,James Patterson,Rakhyun E. Kim,"Significant parts of society have had enough of the ongoing and increasing ecological crisis, known as climate change, caused by our current ways of living. Society is responding to the climate crisis through collective action and formatting climate movements. These movements are crucial in achieving social and political transformations. They have the power to influence political and media agendas. Protests, one of the major tools climate movements use to cause change, have the potency to increase awareness and urgency of the problem by motivating public and political action. This research conducted an in-depth case study on if and how the series of climate protests between February and December 2019 affected public opinion and climate policies in the Netherlands. The first findings showed no link between changes in national climate policies linked and the 2019 climate protests. Overall, this research implies that the 2019 climate protests had little to no impact on national climate policy and opinion.","To what extent has the series of national climate change protests in 2019 affected climate policies in the Netherlands, and how can this be explained?",13 - Climate Action,"The research focuses on climate protests and their impact on climate policies and public opinion, directly addressing the urgency of climate action.",Netherlands,National,Governance & Policy,"Climate movement, Climate protests, Public opinion, Civil disobedience",Mixed Methods Research,"Case study, Media analysis","Theory of representative democracy, Social Movement Theory, Political Opportunity Theory",,,Netherlands,52.243498,5.634323,Country,,dijk_2021.pdf,dijk_2021.png,Matched,Netherlands,52.243498,5.634323
Humans or bears: why not both? The creation of an analytical framework to assess the transferability of non-lethal measures to mitigate the human-bear conflict and its application to the Trentino-Alto Adige (Italy) case,Lucia Neri,2021.0,Earth Systems Governance,Prof. Dr. Hens Runhaar,Dr. James Patterson,"This thesis addresses the human-bear conflict (HBC) in Trentino-Alto Adige, Italy, by creating an analytical framework to assess the transferability of non-lethal measures to mitigate this conflict. The research aims to identify necessary success conditions for transferring successful measures from other contexts to Trentino. A literature review and structured interviews with local experts were conducted to gather data. The findings indicate that while some measures are transferrable, contextual factors significantly influence their effectiveness. The study contributes to the understanding of HBC management and offers recommendations for improving coexistence between humans and bears.",What are the necessary success conditions for the transferability of non-lethal measures to mitigate the human-bear conflict and to what extent are they met in the Trentino case?,15 - Life on Land,This research contributes to the sustainable management of terrestrial ecosystems and the conservation of biodiversity by addressing the human-bear conflict and exploring measures to enhance coexistence.,"Trentino-Alto Adige, Italy",Local,Ecology & Biodiversity,"Human-Wildlife Conflict, Human-Bear Conflict, Transferability, Non-lethal Measures, Trentino-Alto Adige","Literature-Based Research, Qualitative Empirical Research","Literature review, Structured interviews",,,,Trentino-Alto Adige,46.441472,11.282121,Region,Abstract too short,neri_2021.pdf,neri_2021.png,Matched,Italy,46.441472,11.282121
Combining Predictive and Heuristic Control Strategies for Optimal Deployment of Distributed Energy Storage Systems,Robert Peeters,2021.0,Energy & Materials,Madeleine Gibescu,Ibtihal Abdelmotteleb,"This thesis addresses the integration of variable renewable energy sources in the energy system, focusing on the need for grid flexibility. The objective is to propose a demand side management program that utilizes distributed battery energy storage systems within a portfolio of solar energy producers. The methodology involves a two-step approach using model predictive control and heuristic control to optimize battery charging schedules based on real-time forecasts. Findings indicate that while the proposed framework is feasible, challenges remain in minimizing imbalances between actual and forecasted energy supply.",How can a two-step demand side management program optimize the deployment of distributed energy storage systems in response to variable renewable energy sources?,7 - Affordable and Clean Energy,"This research contributes to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all by enhancing the flexibility of the energy system through innovative management of energy storage.",Netherlands,Local,Energy & Climate,"Demand Side Management, Distributed Energy Storage, Model Predictive Control, Heuristic Control, Renewable Energy",Mixed Methods Research,"Model Predictive Control, Heuristic Control, Kalman Filter, Hierarchical Clustering",,CT Energy,,,52.243498,5.634323,Broad,Abstract too short,peeters_2021.pdf,peeters_2021.png,Matched,Netherlands,52.243498,5.634323
"Follow the Water Diving into the Politics of Water Losses in Nairobi, Kenya",Loes Nijkamp,2021.0,International Development,Dr. Murtah Shannon,Dr. Kei Otsuki,"This thesis explores the politics surrounding water losses in Nairobi, Kenya, focusing on access to water in informal settlements. The aim is to analyze the governmental water distribution system and its impact on water access. A qualitative empirical research methodology was employed, utilizing interviews with various stakeholders. The findings reveal the complexities of water governance and the intertwining of formal and informal water supply systems, highlighting the challenges faced by residents in accessing reliable water sources.",How do the politics of water governance affect access to water in informal settlements in Nairobi?,6 - Clean Water and Sanitation,"This SDG is relevant as the research addresses issues of water access and governance in informal settlements, which directly impacts the availability of clean water.","Nairobi, Kenya",Local,Governance & Policy,"water governance, informal settlements, Nairobi, water access, water losses",Qualitative Empirical Research,Interviews,,World Waternet,,Nairobi,-1.289001,36.817281,City,Abstract too short,nijkamp_2021.pdf,nijkamp_2021.png,Matched,Kenya,-1.289001,36.817281
"Power, Politics & Resources: A case study of the Marae Moana",Joseph Argus,2021.0,International Development,Femke van Noorloos,Janwillem Liebrand,"Small pacific islands are dependent on the ocean as a means of sustenance and livelihood, yet they are also at the vanguard of climate change. This research explores the social dynamics of the Marae Moana, the world's largest multi-purpose marine park, and how access to resources and power positions have changed since its implementation. Through analysing policy, news articles, and stakeholder interviews, the research finds that small scale operators benefit from the legislation while commercial operators face restrictions. The study concludes that the Marae Moana is positive legislation for maritime conservation, though concerns regarding compliance and transparency remain.",How has the implementation of the Marae Moana marine reserve changed access to resources and power positions amongst stakeholders in the Cook Islands?,14 - Life Below Water,"The research focuses on the conservation of marine resources and the management of marine protected areas, which directly relates to the sustainable use of oceans, seas, and marine resources.",Cook Islands,Local,Ecology & Biodiversity,"Marae Moana, marine conservation, Cook Islands, stakeholder dynamics, political ecology",Qualitative Empirical Research,"Semi-structured interviews, Policy analysis",Political Ecology,,,Cook Islands,-19.996972,-157.785871,Country,Abstract too short,argus_2021.pdf,argus_2021.png,Matched,Cook Islands,-19.996972,-157.785871
Promoting Sustainable Tourism in the Alps: A Systematic Assessment of Major Certification Schemes for Sustainable Tourism Destinations,Clara Gulde,2021.0,Earth Systems Governance,Walter Vermeulen,Agni Kalfagianni,"Tourism destinations increasingly turn to sustainability certification to balance safeguarding their natural and cultural resources with developing a long-term tourism strategy. This research aims to systematically assess the effectiveness of major certification schemes for sustainable tourism in the Alps. A comprehensive assessment framework was developed, and three certification schemes were evaluated. Findings indicate that none of the schemes meet the international benchmark for potential effectiveness, particularly lacking in impact categories. This research contributes to understanding the effectiveness of certification schemes and provides recommendations for practitioners.",How effective are major certification schemes for sustainable tourism destinations in the Alps?,12 - Responsible Consumption and Production,"The research focuses on sustainable tourism practices and certification schemes, which directly relate to responsible consumption and production in tourism.",Alps,Regional,Circular Economy & Production,"Sustainability, Governance, destination certification, effectiveness, mountain tourism","Literature-Based Research, Qualitative Empirical Research","Case study, Thematic analysis",,,"Green Destinations, TourCert, Mountaineering Villages",Alps,45.9083263,9.1420628,Broad,Abstract too short,gulde_2021.pdf,gulde_2021.png,Matched,Multi-region,,
TOWARDS JUST URBAN GREENING DEVELOPING A DIAGNOSTIC FRAMEWORK FOR COLLABORATIVE URBAN PLANNING AS A MEANS FOR JUST URBAN GREENING INITIATIVES IN AMSTERDAM – A CASE STUDY APPROACH,Marijn Kallenberg,2021.0,Earth Systems Governance,Dr. James Patterson,Prof. Dr. Harriet Bulkeley,"Urban greening is a climate adaptation strategy that tackles multiple social and environmental challenges in urban areas, two important ones being heat reduction and increased social wellbeing. Because of the positive social and environmental effects, it is important that urban greening takes a just and inclusive approach, with equal decision-making processes and recognition of existing inequalities, so that everyone can reap the benefits. Collaborative urban planning (CUP) is a governance strategy that takes an inclusive approach in urban planning practices and thus has the potential of providing a just output on urban greening. This research tries to further develop theory on environmental justice and urban greening, by critically scrutinizing collaborative urban greening initiatives through an environmental justice lens, which provides insights in how recognition, procedures and distribution play out. This has been done by taking an explorative multi case study approach.",,,,Amsterdam,Local,Urban & Regional Development,"urban greening, environmental justice, collaborative urban planning, diagnostic framework","Literature-Based Research, Qualitative Empirical Research","Semi-structured interviews, Document analysis, Observation",Environmental Justice,De Gezonde Stad,,Amsterdam,52.37308,4.892453,City,"Missing Research Question, Missing SDG",kallenberg_2021.pdf,kallenberg_2021.png,Matched,Netherlands,52.37308,4.892453
Product Service Systems for Boilers; Towards a Circular Economy,Jisca van Bommel,2021.0,,Dr. ir. Jesus Rosales Carreon,Dr. ir. Wina Crijns-Graus,"Every year around 375.000 boilers are being discarded and end up as waste in the Netherlands. This is not in line with a circular economy. Product Service System Business Models (PSS BM) have great potential to increase the circularity performance in a business, which can reduce the impact on the environment. The heating sector in the Netherlands has potential to become more circular through servitization. This thesis aims to answer the following research question: 'Which PSS BM for boilers could be implemented to enhance the transition towards a circular economy?' This thesis uses a case study approach, semi-structured interviews and a Multi-Criteria Analysis (MCA) to answer the main research question. The analysis shows that the functional result BM can be implemented to enhance the circular economy for boilers.",Which PSS BM for boilers could be implemented to enhance the transition towards a circular economy?,12 - Responsible Consumption and Production,"The thesis addresses the need to reduce waste and enhance circularity in the heating sector, aligning with the goal of responsible consumption and production.",Netherlands,National,Circular Economy & Production,,"Mixed Methods Research, Qualitative Empirical Research","Case study, Semi-structured interviews, Multi-Criteria Analysis",,TNO,Energiewacht,,52.243498,5.634323,Broad,,bommel_2021.pdf,bommel_2021.png,Matched,Netherlands,52.243498,5.634323
The future impact of the global aviation sector on climate change mitigation unravelled,Valentijn Frinking,2021.0,Energy & Materials,Detlef van Vuuren,Oreane Edelenbosch,"This study aims to understand how the aviation sector can contribute to achieving the climate goals outlined in the Paris Agreement. It identifies key drivers of air travel demand, such as GDP and population growth, and reviews emissions mitigation pathways from literature. The research updates the representation of the aviation sector in the IMAGE model and develops four mitigation scenarios compared to a baseline scenario. Results indicate that while alternative propulsion technologies have limited effects, a modal shift to high-speed trains and increased bio-fuel usage can significantly reduce emissions. However, achieving net zero emissions by the century's end appears unlikely without further technological advancements and policies.",How can the aviation sector contribute to reaching the climate goals as stated in the Paris Agreement?,13 - Climate Action,"The study focuses on the aviation sector's role in mitigating climate change, aligning with the goals of the Paris Agreement to limit global warming.",Global,Global/International,Energy & Climate,,Modelling & Systems Approaches,Scenario analysis,"IMAGE, Shared Socioeconomic Pathways, TIMER, TRAVEL",PBL Netherlands Environmental Assessment Agency,,,,,Broad,,frinking_2021.pdf,frinking_2021.png,Matched,Global,,
On the formation of regular vegetation patterns,Paul M.J. Berghuis,2021.0,Ecosystems and Environmental Change,Dr. Angeles Garcia Mayor,Dr. Jerry van Dijk,"This thesis investigates the formation of regular vegetation patterns through an experimental approach. The aim is to recreate these patterns in a controlled lab setup, addressing the challenges posed by the pandemic. The methodology involves designing an experimental setup and conducting various drought treatments on P. vaginatum. The findings indicate successful pattern formation, contributing to the understanding of vegetation dynamics.",How can regular vegetation patterns be formed in a controlled experimental setup?,15 - Life on Land,"This research contributes to the understanding of vegetation dynamics, which is essential for maintaining healthy ecosystems and biodiversity.","Utrecht, Netherlands",Local,Ecology & Biodiversity,"vegetation patterns, experimental approach, drought treatment, P. vaginatum",Mixed Methods Research,"Experimental setup, Data analysis",,,,Utrecht,52.090701,5.121563,City,Abstract too short,berghuis_2021.pdf,berghuis_2021.png,Matched,Netherlands,52.090701,5.121563
Government support for community action,Ries Verhoeven,2021.0,Earth Systems Governance,Heleen Mees,Dries Hegger,"To limit climate change, the Dutch government aims to reduce greenhouse gas emissions by 49% by 2030. To achieve this goal, a transformation in the energy sector is necessary. The production of renewable energy provides opportunities for a decentralised energy system. In the discourse of the ‘participation society’ in the Netherlands, local communities are increasingly perceived as key players in the transition to a low-carbon energy system. This research aims to answer the question: How and to what extent do local and regional governments support Community Renewable Energy initiatives? The research reveals that municipalities mainly offer advice and legal support, while the province of South Holland provides subsidies and a learning network. The supportive role of governments is limited by various factors, but there is potential for enhancement.",How and to what extent do local and regional governments support CRE initiatives?,7 - Affordable and Clean Energy,"This SDG applies as the research focuses on the role of local and regional governments in supporting renewable energy initiatives, which are essential for achieving affordable and clean energy.",Netherlands,Local,Energy & Climate,"Community Renewable Energy, local government, regional government, Sustainability, Energy transition",Qualitative Empirical Research,"In-depth interviews, Case study",,,"Duurzaam Den Haag, Energie van Rotterdam",The Hague,52.243498,5.634323,City,,verhoeven_2021.pdf,verhoeven_2021.png,Matched,Netherlands,52.243498,5.634323
The contribution of a mixed-methods approach on urban resource nexus governance - operationalizing nexus footprints and policy integration in two case studies,Linda Clea Elisabeth Maiwald,2021.0,Earth Systems Governance,Dr. Marjanneke Vijge,,"The concept of urban nexus and its governance has been gradually evolving during the past years. Yet, urban nexus studies still appear as majorly underrepresented compared to a broad range of nexus research focusing on the international or national context. The nexus concept for local studies is still undertheorized. Therefore, the thesis targets on a sharper characterization of nexus to conclude on urban nexus governance. For this reason, the mixed-methods study examines the interactions between water and energy resources and the interaction between institutions facing the nexus issue in two case studies (Amman, Jordan and Pune, India). The Socio-Ecological Systems concept is utilized to establish a theory-neutral framework that bridges both material and institutional analysis.",How can a mixed-methods approach enhance the understanding of urban resource nexus governance in Amman and Pune?,11 - Sustainable Cities and Communities,"The research focuses on urban resource governance, specifically the interactions between water and energy resources, which directly relates to the sustainability of cities.","Amman, Jordan and Pune, India",Local,Governance & Policy,"urban nexus, nexus footprints, nexus governance, urban system, policy integration, resources, water-energy nexus, mixed-methods",Mixed Methods Research,"Case study, Semi-structured interviews, Literature review, Policy analysis","Socio-Ecological Systems, Policy integration",,,Amman,31.951569,35.923963,City,,maiwald_2021.pdf,maiwald_2021.png,Matched,Jordan; India,31.866646|18.471377,35.466253|73.86447
An initial assessment of potential refugee species among large herbivorous mammals,Anouk Visser,2021.0,Environmental Change and Ecosystems,Joris P.G.M. Cromsigt,Graham I.H. Kerley,"This research focuses on identifying potential refugee species among large herbivorous mammals, which are species whose conservation is at risk due to anthropogenic pressures. The study aims to assess the potential refugee status of these species through a global scale analysis using existing datasets. The findings indicate that out of 79 species assessed, 49 could be evaluated, with 18 showing significant potential for refugee status. The research highlights the importance of using global datasets to identify species at risk and suggests that certain variables, such as range decline, are more effective in identifying refugee species than others.",Can an initial assessment using global databases identify possible refugee species among the world’s large herbivorous mammals?,15 - Life on Land,"The research aims to protect biodiversity by identifying species at risk of extinction due to anthropogenic pressures, aligning with the goal of conserving terrestrial ecosystems and ensuring sustainable use of natural resources.",Global,Global/International,Ecology & Biodiversity,"refugee species, large herbivorous mammals, conservation, anthropogenic pressure, Biodiversity",Mixed Methods Research,"Principal component analysis, k-mean clustering, Data analysis",,,,,,,Broad,Abstract too short,visser_2021.pdf,visser_2021.png,Matched,Global,,
