Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
"Maritime transportation of LOHCs: A greenhouse gas footprint and economic assessment of importing renewable H2 from Portugal to the Netherlands, using liquid organic hydrogen carriers",João Godinho,2022.0,Ric Hoefnagels,,"This research was conducted to quantify the economic and GHG impact of importing green H2 from Sines, Portugal, to Rotterdam, in the Netherlands. The H2 to be transported was stored within two-way LOHCs, specifically the toluene-methylcyclohexane and the dibenzyltoluene-perhydro-dibenzyltoluene systems. The transportation was assumed to be handled by chemical/oil tankers. The findings concluded that transporting DBT-PDBT using small tankers is the most financially viable option, with projected supply chain costs and GHG impacts decreasing significantly over the years 2030, 2040, and 2050.","What is the economic and greenhouse gas impact of importing green hydrogen from Sines, Portugal, to Rotterdam, Netherlands, using liquid organic hydrogen carriers?",7 - Affordable and Clean Energy,"This research addresses the transition to renewable energy sources by assessing the viability of importing green hydrogen, which is essential for achieving sustainable energy goals.",Netherlands,National,Energy & Climate,"LOHC, toluene, dibenzyltoluene, supply chain, green H2","Literature-Based Research, Qualitative Empirical Research","Literature review, Expert interviews",,,"Port of Rotterdam, Port of Sines",Rotterdam,52.243498,5.634323,City,Abstract too short,godinho_2022.pdf,godinho_2022.png,Matched (content),Netherlands,52.243498,5.634323
IDENTIFYING THE GREENHOUSE GAS REDUCTION POTENTIAL OF AUTOGENERATIVE HIGH PRESSURE DIGESTION,Marco van Veen,2023.0,Martin Junginger,Li Shen,"This research models the mass and energy flows of wastewater treatment, focusing on the WWTP Amsterdam West. The study aims to assess the greenhouse gas (GHG) reduction potential of Autogenerative High Pressure Digestion (AHPD) compared to Anaerobic Digestion (AD). A consequential Life Cycle Assessment (cLCA) is conducted to evaluate the Global Warming Potential (GWP) across four scenarios, including a baseline scenario and variations incorporating an A-trap and AHPD. The findings indicate significant GHG reductions, with potential reductions of 8% for the A-trap scenario and between 27% and 37% for the AHPD scenarios, highlighting the advantages of integrating new technologies in wastewater treatment.",What is the greenhouse gas emission reduction potential of the autogenerative high-pressure digestion technology compared to the baseline scenario from a gate to grave perspective?,13 - Climate Action,"This research addresses the reduction of greenhouse gas emissions in wastewater treatment, contributing to climate action efforts.","Amsterdam, Netherlands",Local,Energy & Climate,"Anaerobic Digestion, Autogenerative High Pressure Digestion, Greenhouse Gas Emissions, Life Cycle Assessment, Wastewater Treatment",Mixed Methods Research,"Life Cycle Assessment, Modelling",,Bareau,,Amsterdam,52.37308,4.892453,City,,veen_2023.pdf,veen_2023.png,Matched,Netherlands,52.37308,4.892453
THE CIRCULAR BIOECONOMY IN PRACTICE – ASSESSING THE END-OF-LIFE OPTIONS AND ITS ENVIRONMENTAL IMPACT FOR BIO-BASED POLYETHYLENE FURANOATE (PEF),Ties Gerritse,2023.0,Paul Stegmann,"Li Shen, Marc Londo","PEF is an innovative bio-plastic with superior characteristics compared to PET, leading to advantages in food packaging applications. This study investigates the environmental performance of different end-of-life (EoL) options for PEF, focusing on their greenhouse gas (GHG) impacts. Using life cycle assessment (LCA) methodology, the study compares mechanical and chemical recycling processes for PEF and PET. Results indicate that mechanical recycling offers the largest environmental benefits, with PEF showing a GWP reduction of 54-64% over its life cycle compared to PET. The choice of EoL significantly impacts the GWP of PEF bottles.",What are the environmental impacts of different end-of-life options for bio-based polyethylene furanoate (PEF) compared to conventional plastics?,12 - Responsible Consumption and Production,"This study addresses the environmental impacts of bio-based plastics and their end-of-life options, contributing to sustainable production and consumption patterns.",Netherlands,Local,Circular Economy & Production,"PEF, bio-plastic, end-of-life options, environmental impact, Life Cycle Assessment","Qualitative Empirical Research, Quantitative Empirical Research",Life Cycle Assessment,,Avantium,,Netherlands,52.243498,5.634323,Country,Abstract too short,gerritse_2023.pdf,gerritse_2023.png,Matched,Netherlands,52.243498,5.634323
An end-user cost economic- and environmental comparison of alternative heating scenarios for households in the Netherlands,Gerben Willem Jacob Piet,2020.0,"Robert Harmsen, Sara Herreras Martínez",Wen Liu,"This thesis investigates the economic and environmental implications of various heating scenarios for households in the Netherlands. The aim is to provide a comprehensive comparison of alternative heating technologies based on end-user costs and environmental impacts. A mixed methods approach is employed, combining scenario analysis and model development to assess the performance of different heating options. The findings reveal significant differences in costs and emissions, highlighting the importance of selecting appropriate heating technologies for sustainable household energy use.",What are the economic and environmental impacts of alternative heating scenarios for households in the Netherlands?,7 - Affordable and Clean Energy,"This research addresses the need for affordable and sustainable energy solutions in households, aligning with the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.",Netherlands,National,Energy & Climate,"heating scenarios, economic comparison, environmental comparison, households, Netherlands",Mixed Methods Research,"Scenario analysis, Model development",,Inenergie,,Netherlands,52.243498,5.634323,Country,Abstract too short,piet_2020.pdf,piet_2020.png,Matched,Netherlands,52.243498,5.634323
Deep Decarbonisation of the Dutch Chemical Industry: A Marginal Abatement Cost Curve Analysis for LyondellBasell,Charlotte Yong Min Fen,2020.0,Li Shen,Ernst Worrell,"Achieving the climate goals stipulated in the Dutch Climate Agreement requires a collective effort from all sectors, particularly the Dutch industry – a major emissions contributor. This study proposes the most appropriate decarbonisation options in achieving (near) net-zero scope 1 and 2 emissions for a major chemical company – LyondellBasell. Specifically, its production sites in Botlek and Maasvlakte. The Marginal Abatement Cost (MAC) curve analysis is utilised as the main analysis method to assess the cost-effectiveness and the abatement potential of seven decarbonisation options. This is complemented with a qualitative discussion on the relevant non-economic factors. Together, providing a comprehensive view of both the cost-effectiveness and the implementation feasibility.",What are the most appropriate decarbonisation options for achieving (near) net-zero scope 1 and 2 emissions for LyondellBasell?,13 - Climate Action,"The study addresses the need for significant reductions in greenhouse gas emissions from the chemical industry, aligning with the goals of the Climate Agreement in the Netherlands.",Netherlands,National,Energy & Climate,"Decarbonisation, chemical industry, marginal abatement cost curve, LyondellBasell, emissions reduction",Mixed Methods Research,"Marginal Abatement Cost (MAC) curve analysis, Qualitative analysis",,PBL Netherlands Environmental Assessment Agency,LyondellBasell,"Botlek, Netherlands",52.243498,5.634323,City,,fen_2020.pdf,fen_2020.png,Matched,Netherlands,52.243498,5.634323
Cost-effective Hydrogen Production,Jan Overbeek,2020.0,Machteld van den Broek,,"This research paper compares the levelized cost of hydrogen (LCOH) production of the most used hydrogen production methods. More specifically, it analyzes how uncertainties in techno-economic data from literature affects the LCOH of these production methods. To answer this question, the LCOH was calculated using a range of values for the underlying factors that determine the LCOH. Five pathways were defined containing different production methods. The default location of these pathways is the port of Rotterdam. The results emphasize the need to reduce the uncertainty in underlying factors of the LCOH for hydrogen production to facilitate decision making considering hydrogen production in the future.",How do uncertainties in techno-economic data affect the levelized cost of hydrogen production for different production pathways?,7 - Affordable and Clean Energy,"This research focuses on hydrogen production, which is a key component in the transition to clean energy systems.","Rotterdam, Netherlands",Local,Energy & Climate,,"Literature-Based Research, Qualitative Empirical Research","Uncertainty analysis, Levelized Cost of Hydrogen calculation",,,,Rotterdam,51.924442,4.47775,City,,overbeek_2020.pdf,overbeek_2020.png,Matched,Netherlands,51.924442,4.47775
Residues to the Rescue: An assessment of the GHG and cost performance of sugarcane residues for bioenergy: a case study for Peru,Kyra de Haan,2020.0,Martin Junginger,,"This research investigates the GHG and cost performance of sugarcane residues for bioenergy, focusing on bagasse pellets as a biomass fuel for co-fired power plants in the Netherlands. The objective is to assess the potential of bagasse supply from Peru, which has significant unused energy potential. The methodology includes spatial analyses, literature consultations, and expert communications. Findings indicate that bagasse pellets can comply with Dutch GHG targets and are cost-competitive with wood pellets, suggesting a viable alternative for biomass energy. The study highlights the potential for developing a bio-based economy in Peru through the mobilization of sugarcane residues.",How does a bagasse pellet supply chain with end-use in a power plant in the Netherlands perform in terms of GHG emissions and costs?,7 - Affordable and Clean Energy,"This research contributes to the understanding of sustainable biomass energy sources, which are essential for achieving affordable and clean energy targets.",Peru,Local,Energy & Climate,,Mixed Methods Research,"Spatial analysis, Literature review, Expert interviews",,RWE Generation NL,,Peru,-6.86997,-75.045851,Country,Abstract too short,haan_2020.pdf,haan_2020.png,Matched,Peru,-6.86997,-75.045851
Modelling Future Investments in the Dutch Electricity Infrastructure,Bart Visser,2020.0,Vinzenz Koning,,"Electrification of energy demand combined with increased renewable energy generation are key drivers for reducing CO emissions. However, these measures also result in increased strains on the Dutch power grid, leading to substantial infrastructure costs and posing challenges for electrical infrastructure planning. This study develops a simplified grid simulation model using a nationally aggregated representation of the power grid. The model simulates power flows to determine the required capacity of grid assets and calculates infrastructure costs. While the model reflects some expected behaviors of the actual power system, it also exhibits unrealistic behaviors due to the absence of flexibility options and large uncertainties from unclear effects of self-consumption.",How can a simplified grid simulation model be developed to forecast capacity expansion requirements and infrastructure costs for the Dutch electricity grid?,7 - Affordable and Clean Energy,"This study addresses the need for a reliable electricity infrastructure to support the transition to renewable energy sources, which is essential for achieving affordable and clean energy.",Netherlands,National,Energy & Climate,,Modelling & Systems Approaches,Grid simulation model,,,PBL Netherlands Environmental Assessment Agency,Netherlands,52.243498,5.634323,Country,,visser_2020.pdf,visser_2020.png,Matched,Netherlands,52.243498,5.634323
Techno-economic analysis of self-consumption in the residential sector and the associated effect on the electricity network A case study of the Netherlands: Policy recommendations for the Dutch government in a time horizon toward 2031 and beyond.,Daan Booij,,Ioannis Lampropoulos,Elena Fumagalli,"This thesis explores the techno-economic aspects of self-consumption in the residential sector in the Netherlands. The aim is to analyze the impact of self-consumption on the electricity network and provide policy recommendations for the Dutch government. A case study approach is employed, utilizing a PV system model and residential low voltage network model to assess various scenarios. The findings indicate that self-consumption can significantly influence the electricity network, highlighting the need for strategic policy interventions to optimize energy use and network stability.","What is the impact of self-consumption in the residential sector on the electricity network in the Netherlands, and what policy recommendations can be made for the Dutch government?",7 - Affordable and Clean Energy,"This research addresses the need for affordable and clean energy solutions by analyzing self-consumption in the residential sector, which can enhance energy efficiency and sustainability.",Netherlands,National,Energy & Climate,,Mixed Methods Research,"Case study, Sensitivity analysis, Data collection",,,,Netherlands,52.243498,5.634323,Country,Abstract too short,booij_unknown.pdf,booij_unknown.png,Matched,Netherlands,52.243498,5.634323
Investigating the variability of the Utrecht Science Park PV System,Lucas Bahnmüller,,Wilfried van Sark,,"The increasing amount of installed PV capacity in the Netherlands is increasing the burden on the electrical grid. The intermittency, or output variability of PV systems is the reason why PV systems can create this large burden on the grid if the PV capacity keeps increasing. In this paper, the output variability of the different PV systems of the Utrecht Science Park was investigated, where exclusively the variability caused by the motion of the clouds was analyzed. Performance ratios were calculated for the different PV systems to see how these systems performed at different levels of output power. The theoretical output of the different PV systems was calculated with a transposition model to be able to determine their output variability. With this output variability, the correlation between the different pairs of PV systems was calculated, after which it could be concluded that the different systems strongly correlate which each other, with significant differences being present between the different pairs of PV systems.",,,,"Utrecht, Netherlands",Local,Energy & Climate,,Quantitative Empirical Research,"Performance ratio calculation, Transposition model, Correlation analysis",,,,Utrecht,52.090701,5.121563,City,"Missing Research Question, Missing SDG",,,Not found,Netherlands,52.090701,5.121563
A Quantitative Analysis Of Different Tariff Designs For Mini-grids,Hasib Anwar,,Elena M Fumagalli,Jesús Rosales Carreón,"This thesis addresses the economic sustainability of mini-grids, which are essential for rural electrification in developing countries. The objective is to design and quantitatively analyze seven different tariff types to determine the most affordable option for mini-grid users. A model called RETEP Tariff calculates the Levelized Cost of Electricity (LCoE) and the Cost of Electricity (CoE) for various user types. The findings indicate that Mini-grid 3 offers the lowest LCoE and CoE, with the Fixed & Variable Tariff being the most affordable for Mini-grids 2 and 3, while Mini-grid 1 benefits from the Fixed & Variable Tariff and Block Tariff CT.",Which tariff design is the most affordable for mini-grids?,7 - Affordable and Clean Energy,"The research focuses on improving access to electricity in rural areas through economically sustainable mini-grid solutions, directly contributing to the goal of affordable and clean energy.",,Local,Energy & Climate,,Quantitative Empirical Research,"Modeling, RETEP Tariff",,,"Decentralised Energy Systems India (DESI) Power, Omnigrid Micropower Company (OMC), Electricité d’Haiti (EDH), Bamiyan Solar Mini-grid",,,,Broad,,anwar_unknown.pdf,anwar_unknown.png,Matched,,,
"Comparative analysis of potential district heating systems in older urban neighborhoods - A case study in Benoordenhout, The Hague",Bas van der Veen,2020.0,Wen Liu,Blanca Corona Bellostas,"The Dutch government has adopted ambitious targets to decarbonize the heat supply of the built environment. For this, key focus lies on building heat demand reduction and for the supply of renewable heat, a district-oriented approach is handled. For older urban neighborhoods, extensive building retrofits to reduce heat demand are often very expensive or legally restricted, making low-temperature heat systems unfeasible. District heating systems operating on a medium-temperature level can be a solution for such neighborhoods. A case study in Benoordenhout, The Hague, assesses the potential of various heat sources. It was found that geothermal energy can cover the entire annual heat demand, while TEO and TEA have limited potential. The project can yield substantial profits, but connection to existing infrastructure is necessary.","What are the potential district heating systems for older urban neighborhoods, specifically in Benoordenhout, The Hague?",7 - Affordable and Clean Energy,"This research addresses the need for renewable heat supply solutions in urban areas, contributing to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.","Benoordenhout, The Hague, Netherlands",Local,Energy & Climate,"District Heating, Geothermal Energy, Medium Temperature, Urban Neighborhoods, Renewable Heat",Mixed Methods Research,"Case study, Simulation data modeling, Energy modeling",,Tauw,,The Hague,52.09506,4.322751,City,,veen_2020.pdf,veen_2020.png,Matched,Netherlands,52.09506,4.322751
Feasibility Study on solar carport systems in the Netherlands,Luuk te Molder,,Wilfried van Sark,,"Over the past years, the share of electric vehicles (EVs) on the Dutch roads has been rising, thereby taking the first steps towards a more sustainable vehicle fleet in the Netherlands. However, for the vehicle fleet to become more sustainable, the EVs are preferably charged with renewable energy. Therefore, the growth in the number of EVs is accompanied by an increasing (sustainable) energy demand, and consequently, more pressure on the electricity grid due to large peak demands resulting from simultaneously charging of large numbers of EV batteries. Solar carports pose a potential solution for this. This study contains a techno-economic analysis of solar carports in the Netherlands.",To what extent can different sizes of solar carports in the Netherlands supply the electricity required for charging the batteries of varying occupation rates of EVs parked at the carport during business hours?,7 - Affordable and Clean Energy,"The study focuses on integrating renewable energy sources into the charging infrastructure for electric vehicles, promoting sustainable energy solutions.",Netherlands,National,Energy & Climate,,Mixed Methods Research,Techno-economic analysis,,Vattenfall,,Netherlands,52.243498,5.634323,Country,,molder_unknown.pdf,molder_unknown.png,Matched,Netherlands,52.243498,5.634323
A broad environmental impact analysis of local energy systems,Simon Nederhoff,2020.0,Gert Jan Kramer,Wen Liu,"Nations face the need for a decarbonized energy supply, which may lead to a focus solely on reducing GHG emissions at the expense of other environmental impacts. This research analyzes the impact of GHG emissions, land requirements, and critical resource use for the neighborhood ‘Haven-Stad’ in relation to sustainable reference values. The study examines trade-offs between sustainability indicators and the effects of varying energy demand. Results indicate that transitioning to renewable energy can significantly reduce GHG emissions, but reliance on intermittent sources necessitates energy storage, which raises concerns about critical resource use. The findings highlight the importance of considering global impacts and resource dependencies in renewable energy systems.","How do GHG emissions, land use, and critical resource use of local energy systems in Haven-Stad compare to sustainable reference values?",7 - Affordable and Clean Energy,"This SDG applies as the research focuses on the transition to renewable energy systems, aiming to provide affordable and sustainable energy solutions while considering environmental impacts.","Haven-Stad, Netherlands",Local,Energy & Climate,"Sustainability, Renewable Energy, GHG emissions, land use, critical resources",Mixed Methods Research,"Case study, Simulation model selection, Data collection",,Alliander,,Haven-Stad,51.739994,4.243744,City,,nederhoff_2020.pdf,nederhoff_2020.png,Matched,Netherlands,51.739994,4.243744
Cost-effective ways to decarbonize Tata Steel,Joep Matser,2020.0,"Matteo Gazzani, Lukas Weimann",,"To protect the Netherlands from the effects of climate change, the Netherlands agreed to lower their CO2 emissions by 49% in 2030 relative to 1990. Tata Steel IJmuiden (TSIJ) plays a crucial role in this reduction target since it emits 7% of the CO2 emissions in the Netherlands. Deep decarbonization of TSIJ is therefore key to meet the CO2 reduction goal. Using a Mixed Integer Linear Programming (MILP) based framework, this research quantifies the CO2 reduction by changing the current energy system towards a minimal CO emission design. The results showed that the decarbonization potential of electrification of heat is limited, while the CO2 reduction potential of utilization of the EAF and Hisarna is approximately 30% each. To reach the CO2 reduction goal, both the utilization of CCS and the implementation of renewable electricity are needed.",How can Tata Steel IJmuiden effectively decarbonize its energy system to meet the Netherlands' CO2 reduction targets?,13 - Climate Action,"This research addresses the urgent need to reduce greenhouse gas emissions in the steel industry, which is crucial for combating climate change.","IJmuiden, Netherlands",Local,Energy & Climate,"Decarbonisation, Tata Steel, MILP, energy system, CO2 emissions",Mixed Methods Research,"Mixed Integer Linear Programming, Scenario analysis","MILP, Energy Hub approach",Tata Steel Nederland,Tata Steel IJmuiden,IJmuiden,52.457414,4.611621,City,,matser_2020.pdf,matser_2020.png,Matched,Netherlands,52.457414,4.611621
Guiding companies toward climate change mitigation with a digital One-stop-shop,Rik Paanakker,2020.0,"Maarten van den Berg, Ric Hoefnagels",Wina Crijns-Graus,"This thesis explores the role of digital tools in facilitating climate change mitigation for companies. The aim is to develop a comprehensive digital One-stop-shop that guides organizations in reducing their greenhouse gas emissions. A mixed methods approach is employed, combining case studies and interviews with stakeholders from Royal HaskoningDHV. The findings indicate that a structured digital platform can significantly enhance the effectiveness of GHG reduction strategies by providing tailored solutions and facilitating stakeholder engagement.",How can a digital One-stop-shop effectively guide companies in their climate change mitigation efforts?,13 - Climate Action,"The research directly addresses the need for urgent action to combat climate change and its impacts, aligning with the goal of promoting climate resilience and reducing greenhouse gas emissions.",Netherlands,National,Energy & Climate,,Mixed Methods Research,"Case study, Interviews",,Royal HaskoningDHV,Royal HaskoningDHV,Utrecht,52.243498,5.634323,City,Abstract too short,paanakker_2020.pdf,paanakker_2020.png,Matched (content),Netherlands,52.243498,5.634323
Techno-Economic Analysis of catalytic hydroprocessing of Fast Pyrolysis Bio-Oil to marine biofuel,J.R.M. Schürmann,2023.0,nnamrühcS,,"The global shipping industry is responsible for 2-3% of the world's greenhouse gas emissions. The International Maritime Organization has set a target to reduce shipping emissions by 50% in 2050 compared to 2008 levels. Biofuels have the potential to reduce the emissions of the shipping sector. This thesis assesses the techno-economic potential of hydroprocessed Fast Pyrolysis Bio-Oil (FPBO) to marine fuel via multi-stage hydroprocessing. A chemical process simulation in Aspen Plus was developed based on a design provided by Biomass Technology Group (BTG). The results indicate that the marine fraction complies with technical requirements, and the total lifetime costs of the demo plant are slightly above 22 million euros.",What is the techno-economic potential of hydroprocessed Fast Pyrolysis Bio-Oil to marine fuel via multi-stage hydroprocessing?,13 - Climate Action,"This research contributes to reducing greenhouse gas emissions in the shipping sector, aligning with the goal of climate action.",Netherlands,Local,Energy & Climate,"Fast Pyrolysis Bio-Oil, marine biofuel, techno-economic analysis, hydroprocessing",Mixed Methods Research,"Chemical process simulation, Standardized Cost Estimation of New Technologies",,Biomass Technology Group,,,52.243498,5.634323,Broad,,schurmann_2023.pdf,schurmann_2023.png,Matched,Netherlands,52.243498,5.634323
ASSESSMENT AND COMPARISON OF ALTERNATIVE MARINE FUELS TOWARDS THE DECARBONISATION OF PORT OF AMSTERDAM,Thomas van der Maas,2020.0,Gert Jan Kramer,,"By shipping more than eighty per cent of the world’s trade volumes, the global maritime industry is essential for the world economy. However, due to expected continuous increasing shipping volumes, the significant amounts of greenhouse gases produced by the sector are likely to grow in a business-as-usual scenario. Therefore, to ensure a sustainable future, the International Maritime Organisation aims at the decarbonisation of the maritime sector. The objective of the research for this paper was to set up an analytical framework that analyses the commercial and operational aspects of the most promising alternative fuels for the Amsterdam port. The outcomes of the research show that biodiesel, more specific hydrotreated vegetable oil (HVO), is the most promising alternative fuel for coastal and inland vessels in the Amsterdam port in 2030.",,13 - Climate Action,"The research focuses on the decarbonisation of the maritime sector, which directly relates to reducing greenhouse gas emissions and addressing climate change.","Amsterdam, Netherlands",Local,Energy & Climate,,Mixed Methods Research,Multi-criteria decision analysis,,Port of Amsterdam,,Amsterdam,52.37308,4.892453,City,Missing Research Question,maas_2020.pdf,maas_2020.png,Matched,Netherlands,52.37308,4.892453
The effect of intervention strategies on the energy consumption of SMEs: A case study on SMEs in the Netherlands,Mans Sopers,2020.0,Robert Harmsen,,"Recently, the environmental performance of small and medium enterprises (SMEs) has gained more interest. In the Dutch climate agreement, policies are proposed on energy saving measures for SMEs. These measures are subject to an intervention strategy which should provide maximum effectivity and minimal administrative burdens for both the companies and institutions, and competent authorities. This research tried to provide insights in the Dutch intervention strategy by answering the question what the effect is of enforcement and stimulation interventions on the energy consumption of SMEs in the Netherlands? This was done by doing a quantitative analysis based on a dataset provided by Energiepartners. Data from an enforcement project in Utrecht was compared to a stimulation project in the province of South-Holland on the parameters energy savings, amount of energy saving measures and completion of the data. The data showed positive results for both strategies, however the stimulation strategy had better results on all three parameters. Furthermore, it was shown through an extensive discussion that the results are not reliable. The most important conclusion from this research are that there is insufficient data available to be able to evaluate these intervention strategies.",What is the effect of enforcement and stimulation interventions on the energy consumption of SMEs in the Netherlands?,7 - Affordable and Clean Energy,"This research focuses on energy consumption and saving measures for SMEs, which directly relates to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.",Netherlands,National,Energy & Climate,"SMEs, energy consumption, intervention strategies, energy saving measures",Quantitative Empirical Research,Data analysis,,Energiepartners,,Utrecht,52.243498,5.634323,City,,sopers_2020.pdf,sopers_2020.png,Matched,Netherlands,52.243498,5.634323
Retrofitting to reach climate goals Energy label specific retrofitting of Dutch office buildings,Pam Engwirda,2020.0,Jesús Rosales Carreón,Robert Harmsen,"The built environment is responsible for 40% of the total CO2 emissions of the European Union. The Dutch Cabinet is aiming for a low-carbon building stock in 2050. By 2023, all office buildings bigger than 100 m2 need to have at least energy label C and by 2030 energy label A. An effective way to improve the energy performance of existing buildings is retrofitting. This research aimed to build a Decision Support System (DSS) that considers future mandatory energy labels when selecting retrofit measures for office buildings in the Netherlands. The DSS was tested on three office buildings and showed that owner preferences significantly impacted the proposed retrofit measures. The research can be used to build other DSS using energy requirements from different countries.",How can a Decision Support System (DSS) be developed to select retrofit measures for office buildings in the Netherlands that meet future mandatory energy labels?,11 - Sustainable Cities and Communities,"This research contributes to making cities sustainable by improving the energy performance of office buildings, which is essential for reducing carbon emissions.",Netherlands,National,Energy & Climate,"Office building, Energy label, Retrofitting, Decision Support System (DSS)",Mixed Methods Research,Case study,,SPIE Nederland B.V.,,Netherlands,52.243498,5.634323,Country,,engwirda_2020.pdf,engwirda_2020.png,Matched,Netherlands,52.243498,5.634323
Hydrogen production on offshore platforms: A techno-economic analysis,Koen Donkers,2020.0,"Wolfgang Eichhammer, Matteo Gazzani",Matteo Gazzani,"This research presents a techno-economic analysis of hydrogen production on decommissioned offshore platforms in the Dutch Continental Shelf (DCS). The aim is to assess the viability of using these platforms for green hydrogen production, given the impending decommissioning of many installations. The analysis compares production costs of hydrogen from offshore platforms with other renewable and conventional sources. Findings indicate that the levelized cost of hydrogen ranges from 4.90 €/kg to 10.81 €/kg, which is higher than the expected 3 €/kg by 2030. The study concludes that significant cost reductions are necessary for offshore hydrogen production to be economically viable.",What can be the role of hydrogen production in the re-use/repurpose of oil and gas platforms in the North Sea region?,7 - Affordable and Clean Energy,"The research focuses on hydrogen production as a clean energy source, contributing to the transition from fossil fuels to renewable energy.",Dutch Continental Shelf,Regional,Energy & Climate,"Hydrogen, Offshore platforms, Techno-economic analysis, Renewable Energy, Energy transition","Qualitative Empirical Research, Quantitative Empirical Research","Literature review, Techno-economic analysis",,Dutch Marine Energy Centre,,Netherlands,52.2434979,5.6343227,Country,Abstract too short,donkers_2020.pdf,donkers_2020.png,Matched,Netherlands,52.2434979,5.6343227
Gamified energy apps within the Dutch market,Luuk Koedam,2020.0,"Tarek Alskaif, Ioannis Lampropoulos",,"This thesis investigates the use of gamified energy apps in the Dutch market to determine if game design elements can lower household energy consumption. The objective is to evaluate existing energy apps and conduct an experiment to assess the impact of these elements on user behavior and energy usage. A mixed methods approach is employed, combining desk research and field experiments. The findings indicate that while many apps incorporate game design elements, their effectiveness in reducing energy consumption varies. The study highlights the potential of gamification as a tool for promoting energy conservation among households.","To what extent do energy apps in the Dutch market use game design elements, and what is the effect of these elements on the behavior and energy consumption of its users?",13 - Climate Action,"This research addresses climate change by exploring how gamification can encourage energy conservation, thereby contributing to reduced greenhouse gas emissions.",Netherlands,Local,Energy & Climate,"gamification, energy consumption, energy apps, behavior change, game design elements","Literature-Based Research, Qualitative Empirical Research","Desk research, field experiment",,,,Netherlands,52.243498,5.634323,Country,Abstract too short,koedam_2020.pdf,koedam_2020.png,Matched,Netherlands,52.243498,5.634323
The Effect of Solar PV on Voltage Flicker in the LV Grid,Erik M.B. Schuurmans,2020.0,"Lennard Visser, Wilfried van Sark",,"Cloud movement can result in a rapidly changing power output of solar photovoltaic (PV) systems. This can result in power quality problems in the distribution network. The larger the installed solar PV capacity, the greater these problems become. Rapidly changing voltage levels in the distribution network result in the power quality related problem of voltage flicker. This thesis aims to quantify the impact of an increasing installed solar PV capacity in the low-voltage (LV) grid on voltage flicker by performing a case study for the Lombok LV grid located in Utrecht, the Netherlands. The results show that currently the thresholds of visible and annoying voltage flicker are not crossed, suggesting no current problem. However, significant voltage flicker is present in all PV penetration scenarios. Active power curtailment and supercapacitors are promising for mitigation, with supercapacitors requiring legislative changes.","What is the impact of increasing installed solar PV capacity on voltage flicker in the low-voltage grid, and how can voltage flicker be mitigated?",7 - Affordable and Clean Energy,"This research addresses the integration of solar energy into the grid, which is essential for achieving affordable and clean energy.","Lombok, Utrecht, Netherlands",Local,Energy & Climate,"solar PV, voltage flicker, low-voltage grid, mitigation techniques, power quality",Qualitative Empirical Research,Case study,,Stedin,,Utrecht,52.091223,5.099599,City,,schuurmans_2020.pdf,schuurmans_2020.png,Matched,Netherlands,52.091223,5.099599
Cost-optimal implementation of energy storage systems to mitigate congestion and increase self-consumption in future Dutch low-voltage networks,Kasper Burger,2020.0,Wilfried van Sark,,"This study investigates the cost-optimal implementation of energy storage systems (ESSs) to mitigate congestion and enhance self-consumption in Dutch low-voltage networks by 2030. Using Advanced Scenario Management – Phase 2 (ASM-2) profiles, the research evaluates ESSs on a neighborhood scale, alongside PV-curtailment and grid reinforcement. An optimization study employing Mixed Linear Integer Programming reveals that ESSs are likely to be cost-optimal for prosumers but not for distribution system operators. The findings indicate that while ESSs can increase self-consumption, their effectiveness is contingent on price developments and regulatory changes.",To what extent can energy storage systems (ESSs) serve as a cost-optimal mitigation option to address congestion and increase self-consumption in 2030?,7 - Affordable and Clean Energy,"The study focuses on enhancing self-consumption and addressing energy congestion, which aligns with the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.","Utrecht, Netherlands",Local,Energy & Climate,"Energy storage systems, congestion, self-consumption, optimization, Dutch low-voltage networks",Mixed Methods Research,Mixed Linear Integer Programming,,,,Utrecht,52.090701,5.121563,City,Abstract too short,burger_2020.pdf,burger_2020.png,Matched,Netherlands,52.090701,5.121563
